Month,Vehicle1,Vehicle2,Vehicle3
March,Convertible,SUV,
June,Truck,,
June,Hatchback,,
May,SUV,,
June,Truck,Hatchback,
May,Sedan,,
April,SUV,Minivan,Convertible
January,Truck,Hatchback,Convertible
April,Hatchback,Convertible,Truck
January,Hatchback,,
May,Hatchback,Minivan,SUV
June,Convertible,SUV,Truck
June,Convertible,,
January,Convertible,,
February,Hatchback,SUV,
January,SUV,Convertible,
June,Convertible,SUV,Truck
February,Truck,Sedan,Hatchback
January,Minivan,Hatchback,
February,Truck,,
June,Convertible,Hatchback,
January,Truck,Sedan,SUV
March,Hatchback,Convertible,SUV
March,Minivan,Convertible,Truck
April,Hatchback,Sedan,Convertible
January,SUV,Hatchback,
May,Convertible,Hatchback,SUV
January,Minivan,SUV,
February,Convertible,,
January,Convertible,Sedan,SUV
March,SUV,Truck,Convertible
February,Hatchback,Convertible,
May,Convertible,,
January,Sedan,,
January,Sedan,SUV,Hatchback
May,Hatchback,,
February,Sedan,Truck,Convertible
March,Convertible,Sedan,SUV
June,Sedan,,
May,Sedan,Minivan,Truck
May,Truck,,
June,Minivan,,
June,SUV,,
May,SUV,,
January,Convertible,SUV,Hatchback
February,Minivan,Hatchback,Convertible
May,Truck,Sedan,
February,Hatchback,SUV,Truck
January,Minivan,,
May,SUV,Sedan,Hatchback
March,Minivan,SUV,
May,SUV,,
March,Minivan,Sedan,
June,SUV,Minivan,
June,Convertible,Minivan,SUV
June,Truck,Hatchback,
January,Convertible,Truck,Hatchback
May,SUV,,
February,Convertible,,
March,Sedan,Convertible,
February,Hatchback,,
May,Hatchback,,
January,Convertible,,
April,Truck,Hatchback,
June,Minivan,Truck,
February,Convertible,SUV,Minivan
February,Hatchback,,
April,Truck,Convertible,
June,Truck,Convertible,Sedan
May,SUV,Hatchback,Truck
February,Truck,,
March,SUV,Sedan,Convertible
June,Convertible,SUV,Hatchback
January,Convertible,SUV,
June,Convertible,,
April,Hatchback,Minivan,Truck
February,Convertible,SUV,
January,Convertible,Sedan,
April,Minivan,,
April,Hatchback,Convertible,Truck
February,Truck,Sedan,Convertible
March,Truck,,
March,Minivan,,
March,Convertible,,
May,Convertible,,
February,Minivan,Convertible,SUV
June,Truck,,
February,Sedan,,
June,Convertible,Minivan,
June,Minivan,Truck,
May,Hatchback,Convertible,
June,Truck,,
February,SUV,Hatchback,
February,Hatchback,,
June,Sedan,Minivan,
March,Hatchback,Minivan,SUV
March,Truck,Minivan,
May,Sedan,Minivan,Hatchback
February,Convertible,SUV,Minivan
June,Sedan,Convertible,
